,구분,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,,,,,,,,,,,,
1,종로구,935,"1,066","1,225","1,322","1,327","1,510","1,573","1,812","1,808",,,,,,,,,,,,
2,중구,363,565,838,"1,174","1,242","1,482","1,911","2,026","2,026",,,,,,,,,,,,
3,용산구,"1,398","1,689","1,831","1,888","1,915","2,058","2,321","2,531","2,647",,,,,,,,,,,,
4,성동구,"1,089","1,328","2,103","2,390","2,833","3,162","3,519","3,627","3,643",,,,,,,,,,,,
5,광진구,638,657,"1,112","1,586","2,308","2,481","3,111","3,370","3,359",,,,,,,,,,,,
6,동대문구,"1,202","1,425","1,535","1,775","2,061","2,166","2,471","2,592","2,592",,,,,,,,,,,,
7,중랑구,751,898,"1,047","1,203","2,250","3,165","3,592","3,856","3,856",,,,,,,,,,,,
8,성북구,"1,035","1,534","1,940","2,542","3,238","3,440","3,815","4,014","4,129",,,,,,,,,,,,
9,강북구,608,840,841,"1,159","1,656","2,337","2,960","3,184","3,184",,,,,,,,,,,,
10,도봉구,345,443,542,679,835,"1,189","1,684","1,994","2,120",,,,,,,,,,,,
11,노원구,956,"1,268","1,433","1,577","1,763","2,034","2,171","2,284","2,281",,,,,,,,,,,,
12,은평구,"1,719","2,075","2,310","2,669","3,141","3,431","3,822","4,103","4,103",,,,,,,,,,,,
13,서대문구,952,"1,179","1,525","1,764","2,100","2,499","2,591","2,928","3,006",,,,,,,,,,,,
14,마포구,623,970,"1,328","1,703","2,011","2,268","2,372","2,500","2,500",,,,,,,,,,,,
15,양천구,"1,898","2,026","2,367","2,655","2,928","3,136","3,393","3,627","3,609",,,,,,,,,,,,
16,강서구,801,960,"1,164","1,386","1,858","2,346","2,637","3,151","3,209",,,,,,,,,,,,
17,구로구,"1,407","1,719","2,231","2,819","3,074","3,455","3,842","4,013","4,122",,,,,,,,,,,,
18,금천구,990,"1,090","1,181","1,563","1,894","2,247","2,276","2,498","2,730",,,,,,,,,,,,
19,영등포구,904,"1,140","1,429","2,055","2,093","3,250","3,508","3,896","3,964",,,,,,,,,,,,
20,동작구,961,"1,200","1,471","1,690","1,904","2,155","2,181","2,404","2,402",,,,,,,,,,,,
21,관악구,"1,496","2,048","2,611","3,247","3,388","3,652","3,833","4,029","4,245",,,,,,,,,,,,
22,서초구,"1,548","1,785","2,169","2,582","2,938","3,175","3,442","3,180","3,180",,,,,,,,,,,,
23,강남구,"2,319","3,447","4,232","4,834","5,459","5,796","6,143","6,495","6,495",,,,,,,,,,,,
24,송파구,713,798,913,"1,364","2,052","2,372","2,520","2,805","2,821",,,,,,,,,,,,
25,강동구,670,863,"1,134","1,596","1,871","2,475","2,720","3,086","3,088",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
