"죄종별(1)",죄종별(2),죄종별(3),2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),죄종별(3),발생건수 (건),검거건수 (건),발생건수 대비 검거건수 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),불상검거인원 (명),법인체 (개)
"총계",소계,소계,1429826,1136665,79.5,1360405,1002380,278825,79200,10317
"강력범죄",소계,소계,22476,21294,94.7,23305,22074,1095,136,1
"강력범죄",살인기수,소계,270,261,96.7,321,234,83,4,1
"강력범죄",살인기수,살인,204,196,96.1,245,187,54,4,1
"강력범죄",살인기수,영아살해,5,5,100.0,5,-,5,-,-
"강력범죄",살인기수,존속살해,26,27,103.8,27,24,3,-,-
"강력범죄",살인기수,촉탁·승낙살인,2,1,50.0,9,5,4,-,-
"강력범죄",살인기수,자살교사·방조,25,24,96.0,26,12,14,-,-
"강력범죄",살인기수,위계·위력·촉탁·승낙살인,-,-,-,-,-,-,-,-
"강력범죄",살인기수,특가법(보복살인등),3,3,100.0,4,4,-,-,-
"강력범죄",살인기수,아동학대처벌법(아동학대살해),5,5,100.0,5,2,3,-,-
"강력범죄",살인미수등,소계,388,380,97.9,421,348,63,10,-
"강력범죄",살인미수등,살인,343,336,98.0,364,308,46,10,-
"강력범죄",살인미수등,영아살해,3,3,100.0,4,2,2,-,-
"강력범죄",살인미수등,존속살해,25,25,100.0,25,20,5,-,-
"강력범죄",살인미수등,촉탁·승낙살인,1,1,100.0,1,-,1,-,-
"강력범죄",살인미수등,자살교사·방조,16,15,93.8,27,18,9,-,-
"강력범죄",살인미수등,위계·위력·촉탁·승낙살인,-,-,-,-,-,-,-,-
"강력범죄",강도,소계,495,487,98.4,766,654,100,12,-
"강력범죄",강도,강도,86,86,100.0,83,71,11,1,-
"강력범죄",강도,준강도,61,60,98.4,65,52,13,-,-
"강력범죄",강도,특수강도,169,164,97.0,293,244,43,6,-
"강력범죄",강도,준특수강도,2,2,100.0,2,2,-,-,-
"강력범죄",강도,강도상해·치상,149,146,98.0,289,252,32,5,-
"강력범죄",강도,강도살인·치사,16,16,100.0,18,17,1,-,-
"강력범죄",강도,해상강도(살인·치사·상해·치상),-,-,-,1,1,-,-,-
"강력범죄",강도,인질강도,-,-,-,-,-,-,-,-
"강력범죄",강도,강도강간,8,9,112.5,11,11,-,-,-
"강력범죄",강도,(특수·인질·해상)강도(상습),-,-,-,-,-,-,-,-
"강력범죄",강도,특가법(강도),2,2,100.0,2,2,-,-,-
"강력범죄",강도,특가법(강도상해재범),2,2,100.0,2,2,-,-,-
"강력범죄",강간,소계,5263,4981,94.6,5695,5580,78,37,-
"강력범죄",강간,강간,2166,2032,93.8,2172,2131,31,10,-
"강력범죄",강간,강간(상습),-,-,-,-,-,-,-,-
"강력범죄",강간,준강간,1048,997,95.1,1099,1089,7,3,-
"강력범죄",강간,준강간(상습),-,-,-,-,-,-,-,-
"강력범죄",강간,강간상해·치상,283,274,96.8,295,290,3,2,-
"강력범죄",강간,강간살인·치사,1,1,100.0,1,1,-,-,-
"강력범죄",강간,미성년자간음(심신미약자),36,33,91.7,49,46,2,1,-
"강력범죄",강간,업무상위력에의한간음,24,23,95.8,30,29,1,-,-
"강력범죄",강간,친족관계에의한강간,143,138,96.5,144,143,1,-,-
"강력범죄",강간,장애인에대한강간·간음,309,283,91.6,332,323,6,3,-
"강력범죄",강간,청소년에대한강간·간음,492,469,95.3,524,508,14,2,-
"강력범죄",강간,미성년자의제강간,384,368,95.8,477,470,2,5,-
"강력범죄",강간,13세미만미성년자강간·간음,73,70,95.9,80,77,1,2,-
"강력범죄",강간,특수강간(준),166,159,95.8,342,328,8,6,-
"강력범죄",강간,주거침입강간,95,92,96.8,101,97,2,2,-
"강력범죄",강간,절도강간,1,1,100.0,1,1,-,-,-
"강력범죄",강간,특수강도강간,12,12,100.0,12,12,-,-,-
"강력범죄",강간,아동학대처벌법위반(상습강간·간음),-,-,-,-,-,-,-,-
"강력범죄",강간,16세미만아동·청소년간음,30,29,96.7,36,35,-,1,-
"강력범죄",유사강간,소계,814,783,96.2,843,818,22,3,-
"강력범죄",유사강간,유사강간,396,380,96.0,411,398,11,2,-
"강력범죄",유사강간,유사강간(상습),-,-,-,-,-,-,-,-
"강력범죄",유사강간,준유사강간,164,156,95.1,163,159,4,-,-
"강력범죄",유사강간,준유사강간(상습),1,1,100.0,1,1,-,-,-
"강력범죄",유사강간,유사강간상해·치상,14,14,100.0,16,15,1,-,-
"강력범죄",유사강간,유사강간살인·치사,-,-,-,-,-,-,-,-
"강력범죄",유사강간,미성년자의제유사강간,15,16,106.7,19,18,1,-,-
"강력범죄",유사강간,유사성행위,208,200,96.2,217,211,5,1,-
"강력범죄",유사강간,주거침입유사강간,16,16,100.0,16,16,-,-,-
"강력범죄",유사강간,절도유사강간,-,-,-,-,-,-,-,-
"강력범죄",유사강간,특수강도유사강간,-,-,-,-,-,-,-,-
"강력범죄",유사강간,아동학대처벌법위반(상습유사강간),-,-,-,-,-,-,-,-
"강력범죄",강제추행,소계,13962,13215,94.6,14030,13389,575,66,-
"강력범죄",강제추행,강제추행,9550,9117,95.5,9695,9173,482,40,-
"강력범죄",강제추행,강제추행(상습),20,20,100.0,18,18,-,-,-
"강력범죄",강제추행,준강제추행,684,669,97.8,715,698,14,3,-
"강력범죄",강제추행,준강제추행(상습),-,-,-,-,-,-,-,-
"강력범죄",강제추행,강제추행상해·치상,131,129,98.5,138,134,4,-,-
"강력범죄",강제추행,강제추행살인·치사,-,-,-,-,-,-,-,-
"강력범죄",강제추행,업무상위력등에의한추행,369,359,97.3,373,369,4,-,-
"강력범죄",강제추행,친족관계에의한강제추행,300,286,95.3,303,299,4,-,-
"강력범죄",강제추행,장애인에대한강제추행·추행,321,305,95.0,335,320,14,1,-
"강력범죄",강제추행,청소년에대한강제추행·추행,841,814,96.8,869,837,28,4,-
"강력범죄",강제추행,미성년자추행(심신미약자),8,8,100.0,8,7,1,-,-
"강력범죄",강제추행,미성년자의제강제추행,39,35,89.7,38,37,1,-,-
"강력범죄",강제추행,13세미만미성년자강제추행·추행,677,631,93.2,652,623,17,12,-
"강력범죄",강제추행,공중밀집장소에서의추행,816,641,78.6,648,638,4,6,-
"강력범죄",강제추행,특수강제추행(준),36,35,97.2,69,67,2,-,-
"강력범죄",강제추행,주거침입강제추행,145,141,97.2,145,145,-,-,-
"강력범죄",강제추행,절도강제추행,2,2,100.0,2,2,-,-,-
"강력범죄",강제추행,특수강도강제추행,2,2,100.0,1,1,-,-,-
"강력범죄",강제추행,아동학대처벌법위반(상습강제추행·추행),-,-,-,-,-,-,-,-
"강력범죄",강제추행,16세미만아동·청소년추행,21,21,100.0,21,21,-,-,-
"강력범죄",기타 강간·강제추행 등,소계,238,238,100.0,276,268,5,3,-
"강력범죄",기타 강간·강제추행 등,강간등상해·치상,104,103,99.0,119,114,2,3,-
"강력범죄",기타 강간·강제추행 등,강간등살인·치사,3,3,100.0,3,3,-,-,-
"강력범죄",기타 강간·강제추행 등,친족관계에의한강간등,-,-,-,-,-,-,-,-
"강력범죄",기타 강간·강제추행 등,장애인에대한준강간등,1,1,100.0,2,2,-,-,-
"강력범죄",기타 강간·강제추행 등,청소년에대한강간등,77,77,100.0,91,90,1,-,-
"강력범죄",기타 강간·강제추행 등,13세미만미성년자강간등,15,15,100.0,17,17,-,-,-
"강력범죄",기타 강간·강제추행 등,주거침입강간등,27,28,103.7,32,30,2,-,-
"강력범죄",기타 강간·강제추행 등,절도강간등,1,1,100.0,1,1,-,-,-
"강력범죄",기타 강간·강제추행 등,특수강도강간등,9,9,100.0,9,9,-,-,-
"강력범죄",기타 강간·강제추행 등,성폭력범죄의처벌및피해자보호등에관한법률위반,1,1,100.0,2,2,-,-,-
